name;probability
org.apache.commons.math3.optim.nonlinear.vector.jacobian.AbstractLeastSquaresOptimizerTest.testGetChiSquare();0.0623
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest.testTwoSets();0.1868
org.apache.commons.math3.complex.ComplexTest.testSqrtImaginaryNegative();0.3521
org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizerTest.testParameterValidator();0.2894
org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatingFunctionTest.testMatchingPartialDerivatives();0.7232
org.apache.commons.math3.analysis.function.SigmoidTest.testParametricValue();0.4595
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSetTest.testLineIntersection();0.3134
org.apache.commons.math3.optimization.direct.SimplexOptimizerNelderMeadTest.testMinimize2();0.2180
org.apache.commons.math3.stat.regression.GLSMultipleLinearRegressionTest.testYVariance();0.3367
org.apache.commons.math3.fitting.leastsquares.MinpackTest.testMinpackLinearRank1();0.4625
org.apache.commons.math3.ode.nonstiff.DormandPrince853FieldIntegratorTest.testForwardBackwardExceptions();0.6026
org.apache.commons.math3.analysis.differentiation.DSCompilerTest.testIncompatibleParams();0.4691
org.apache.commons.math3.fitting.leastsquares.MinpackTest.testMinpackLinearRank1ZeroColsAndRows();0.4625
org.apache.commons.math3.linear.SparseRealMatrixTest.testPlusMinus();0.2849
org.apache.commons.math3.stat.inference.GTestTest.testGTestSetsComparisonBadCounts();0.1731
org.apache.commons.math3.stat.descriptive.MixedListUnivariateImplTest.testSkewAndKurtosis();0.3341
org.apache.commons.math3.util.CombinatoricsUtilsTest.testCheckBinomial3();0.6067
org.apache.commons.math3.util.PrecisionTest.testMath1127();0.3352
org.apache.commons.math3.genetics.CycleCrossoverTest.testCrossoverInvalidFixedLengthChromosomeSecond();0.3671
org.apache.commons.math3.analysis.interpolation.HermiteInterpolatorTest.testSine();0.2940
org.apache.commons.math3.analysis.differentiation.SparseGradientTest.testSinAsin();0.1470
org.apache.commons.math3.ExtendedFieldElementAbstractTest.testLinearCombinationDF3();0.3070
org.apache.commons.math3.analysis.FunctionUtilsTest.testCombine();0.1558
org.apache.commons.math3.geometry.euclidean.twod.PolygonsSetTest.testTooThinBox();0.5809
org.apache.commons.math3.complex.ComplexTest.testAtanInf();0.2156
org.apache.commons.math3.genetics.ElitisticListPopulationTest.testSetElitismRateTooLow();0.5784
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDSTest.testDoubleRotations();0.3523
org.apache.commons.math3.util.ResizableDoubleArrayTest.testCompute();0.2914
org.apache.commons.math3.geometry.euclidean.threed.SubLineTest.testIntersectionBoundaryBoundary();0.3506
org.apache.commons.math3.distribution.AbstractIntegerDistributionTest.testInverseCumulativeProbabilityMethod();0.4474
org.apache.commons.math3.linear.SparseRealMatrixTest.testPremultiplyVector();0.2157
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDSTest.testRevert();0.3976
org.apache.commons.math3.util.CombinatoricsUtilsTest.testBinomialCoefficient();0.4048
org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest.testFullRank();0.1557
org.apache.commons.math3.optimization.direct.MultivariateFunctionPenaltyAdapterTest.testUnbounded();0.1269
org.apache.commons.math3.util.OpenIntToFieldTest.testConcurrentModification();0.5339
org.apache.commons.math3.util.CombinatoricsUtilsTest.testFactorialFail();0.2821
org.apache.commons.math3.stat.regression.SimpleRegressionTest.testNaNs();0.5985
org.apache.commons.math3.complex.ComplexTest.testDivideImaginary();0.6404
org.apache.commons.math3.geometry.spherical.twod.SphericalPolygonsSetTest.testPartWithHole();0.5342
org.apache.commons.math3.distribution.LevyDistributionTest.testSupport();0.6061
org.apache.commons.math3.geometry.spherical.twod.S2PointTest.testNegativePolarAngle();0.8540
org.apache.commons.math3.ode.JacobianMatricesTest.testAnalyticalDifferentiation();0.1905
org.apache.commons.math3.analysis.integration.SimpsonIntegratorTest.testSinFunction();0.1998
org.apache.commons.math3.linear.Array2DRowRealMatrixTest.testMultiply();0.3469
org.apache.commons.math3.fitting.leastsquares.EvaluationTest.testComputeRMS();0.1245
org.apache.commons.math3.util.ArithmeticUtilsTest.testLcmLong();0.4214
org.apache.commons.math3.stat.descriptive.DescriptiveStatisticsTest.testPercentileSetter();0.2956
org.apache.commons.math3.stat.regression.MillerUpdatingRegressionTest.testWampler4();0.3425
org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest.testHypotNoOverflow();0.1720
org.apache.commons.math3.fraction.FractionTest.testMath835();0.0447
org.apache.commons.math3.analysis.integration.gauss.HermiteTest.testNormalVariance();0.0400
org.apache.commons.math3.util.ArithmeticUtilsTest.testAddAndCheck();0.3536
org.apache.commons.math3.distribution.MultivariateNormalDistributionTest.testGetMean();0.2916
org.apache.commons.math3.optimization.linear.SimplexSolverTest.testMath828();0.3736
org.apache.commons.math3.fraction.BigFractionTest.testAbs();0.2874
